t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1307250,0.3095,-0.0438,0.8699,0.0,0.5053,0.0,0.1797
1307266,0.303,-0.0311,0.8733,0.0,0.5117,0.0,0.1845
1307283,0.3016,-0.0704,0.9371,0.0,0.5117,0.0,0.1829
1307299,0.3191,-0.0963,0.9346,0.0,0.5093,0.0,0.1837
1307316,0.296,-0.063,0.8952,0.0,0.5069,0.0,0.1789
1307332,0.3514,-0.1007,0.9298,0.0,0.5061,0.0,0.1789
1307349,0.3036,-0.0945,0.9295,0.0,0.5028,0.0,0.1789
1307365,0.3112,-0.0694,0.8804,0.0,0.5085,0.0,0.1829
1307382,0.3026,-0.0763,0.9014,0.0,0.5101,0.0,0.1829
1307398,0.3174,-0.076,0.9323,0.0,0.5093,0.0,0.1837
1307415,0.3072,-0.0968,0.9502,0.0,0.5085,0.0,0.1781
1307431,0.3052,-0.0878,0.9347,0.0,0.5028,0.0,0.1789
1307447,0.3261,-0.0977,0.9033,0.0,0.5117,0.0,0.1772
1307464,0.288,-0.0513,0.9296,0.0,0.5117,0.0,0.1829
1307480,0.3033,-0.0585,0.9267,0.0,0.5109,0.0,0.1845
1307497,0.2994,-0.0984,0.9962,0.0,0.5093,0.0,0.1813
1307513,0.3453,-0.1017,0.9205,0.0,0.5085,0.0,0.1756
1307530,0.2778,-0.0642,0.903,0.0,0.5093,0.0,0.1821
1307546,0.3221,-0.0974,0.9561,0.0,0.5101,0.0,0.1845
1307563,0.2759,-0.0624,0.9325,0.0,0.5198,0.0,0.1837
1307579,0.3842,-0.0799,0.8948,0.0,0.5125,0.0,0.1805
1307596,0.368,-0.0482,0.8757,0.0,0.5085,0.0,0.1845
1307612,0.2609,-0.1059,0.9466,0.0,0.5061,0.0,0.1821
1307628,0.3256,-0.0789,0.9195,0.0,0.5109,0.0,0.1845
1307645,0.2609,-0.0805,0.9621,0.0,0.5133,0.0,0.1805
1307661,0.3431,-0.0466,0.8587,0.0,0.5141,0.0,0.1837
1307678,0.2884,-0.0475,0.9178,0.0,0.5069,0.0,0.1829
1307694,0.2992,-0.0866,0.9448,0.0,0.5101,0.0,0.1797
1307711,0.3213,-0.0963,0.9375,0.0,0.5133,0.0,0.1781
1307727,0.3213,-0.0971,0.9222,0.0,0.519,0.0,0.1781
1307744,0.2915,-0.0555,0.9199,0.0,0.5149,0.0,0.1861
1307760,0.3038,-0.0783,0.9033,0.0,0.5198,0.0,0.1853
1307777,0.3108,-0.0512,0.8859,0.0,0.5117,0.0,0.1781
1307793,0.308,-0.0894,0.9391,0.0,0.5101,0.0,0.1781
1307809,0.2608,-0.0585,0.9027,0.0,0.5101,0.0,0.1829
1307826,0.2914,-0.0945,0.9773,0.0,0.5133,0.0,0.1845
1307842,0.2995,-0.0951,0.9423,0.0,0.5117,0.0,0.1829
1307859,0.3009,-0.0598,0.9322,0.0,0.5125,0.0,0.1829
1307875,0.3015,-0.0608,0.9262,0.0,0.5101,0.0,0.1829
1307891,0.3174,-0.0591,0.9234,0.0,0.5101,0.0,0.1789
1307908,0.3146,-0.0661,0.8906,0.0,0.5125,0.0,0.1781
1307925,0.2949,-0.0864,0.9346,0.0,0.5117,0.0,0.1829
1307941,0.3025,-0.0726,0.8984,0.0,0.5198,0.0,0.1845
1307958,0.3141,-0.0464,0.9263,0.0,0.5141,0.0,0.1821
1307974,0.339,-0.0647,0.9132,0.0,0.5101,0.0,0.1845
1307990,0.2524,-0.068,0.9458,0.0,0.5101,0.0,0.1764
1308007,0.2985,-0.07,0.9132,0.0,0.5117,0.0,0.1821
1308023,0.3116,-0.0647,0.9261,0.0,0.5198,0.0,0.1845
1308040,0.3429,-0.0931,0.9434,0.0,0.5109,0.0,0.1829
1308056,0.3112,-0.0723,0.8701,0.0,0.5117,0.0,0.1885
1308073,0.2452,-0.0862,0.9528,0.0,0.5093,0.0,0.1781
1308089,0.3259,-0.0867,0.8994,0.0,0.5085,0.0,0.1781
1308106,0.2921,-0.0746,0.9216,0.0,0.5101,0.0,0.1821
1308122,0.2755,-0.0503,0.8915,0.0,0.5117,0.0,0.1829
1308139,0.3289,-0.0654,0.9336,0.0,0.5093,0.0,0.1845
1308155,0.324,-0.0859,0.9079,0.0,0.5117,0.0,0.1829
1308171,0.2963,-0.0526,0.9182,0.0,0.5045,0.0,0.1797
1308188,0.3074,-0.052,0.9041,0.0,0.5069,0.0,0.1821
1308204,0.3132,-0.1054,0.9495,0.0,0.5093,0.0,0.1829
1308221,0.3115,-0.0366,0.8858,0.0,0.5101,0.0,0.1837
1308237,0.3098,-0.0959,0.9344,0.0,0.5061,0.0,0.1829
1308254,0.301,-0.0696,0.9088,0.0,0.5004,0.0,0.1821
1308270,0.3032,-0.0633,0.918,0.0,0.5028,0.0,0.1837
1308287,0.2986,-0.0642,0.8904,0.0,0.5053,0.0,0.1845
1308303,0.3093,-0.0484,0.9143,0.0,0.5125,0.0,0.1829
1308320,0.3142,-0.0604,0.9024,0.0,0.5101,0.0,0.1861
1308336,0.3062,-0.0671,0.9173,0.0,0.5085,0.0,0.1837
1308352,0.3079,-0.0706,0.9109,0.0,0.502,0.0,0.1781
1308369,0.3094,-0.0741,0.9168,0.0,0.5093,0.0,0.1853
1308385,0.3051,-0.0768,0.9201,0.0,0.5069,0.0,0.1772
1308402,0.3065,-0.0781,0.9241,0.0,0.5077,0.0,0.1845
1308418,0.3085,-0.0761,0.9183,0.0,0.5061,0.0,0.1845
1308434,0.3068,-0.074,0.9178,0.0,0.502,0.0,0.1789
1308451,0.3029,-0.0733,0.9191,0.0,0.5069,0.0,0.1781
1308467,0.3057,-0.0739,0.9191,0.0,0.5053,0.0,0.1772
1308483,0.3077,-0.0726,0.9182,0.0,0.5101,0.0,0.1797
1308500,0.3064,-0.073,0.9197,0.0,0.5093,0.0,0.1845
1308516,0.3036,-0.0749,0.9189,0.0,0.5093,0.0,0.1829
1308533,0.3034,-0.074,0.9204,0.0,0.5069,0.0,0.1813
1308549,0.3062,-0.0752,0.9182,0.0,0.502,0.0,0.1789
1308566,0.308,-0.072,0.9198,0.0,0.5101,0.0,0.1829
1308582,0.3103,-0.0691,0.9167,0.0,0.5101,0.0,0.1829
1308599,0.3085,-0.0709,0.9198,0.0,0.5077,0.0,0.1837
1308615,0.307,-0.0735,0.9186,0.0,0.5069,0.0,0.1813
1308632,0.3073,-0.0764,0.9194,0.0,0.5069,0.0,0.1797
1308648,0.308,-0.0756,0.919,0.0,0.5053,0.0,0.1789
1308664,0.3026,-0.07,0.919,0.0,0.5077,0.0,0.1805
1308681,0.3071,-0.0691,0.9146,0.0,0.5101,0.0,0.1853
1308697,0.3048,-0.0697,0.9226,0.0,0.5101,0.0,0.1845
1308714,0.3052,-0.07,0.9219,0.0,0.5053,0.0,0.1797
1308730,0.3037,-0.0727,0.9225,0.0,0.5069,0.0,0.1789
1308746,0.3022,-0.0764,0.9219,0.0,0.5053,0.0,0.1837
1308763,0.308,-0.0761,0.9187,0.0,0.5133,0.0,0.1821
1308779,0.2912,-0.0718,0.9234,0.0,0.5117,0.0,0.1837
1308795,0.3058,-0.0708,0.9163,0.0,0.5093,0.0,0.1813
1308812,0.3031,-0.0726,0.9077,0.0,0.5069,0.0,0.1821
1308828,0.3246,-0.0446,0.9339,0.0,0.5061,0.0,0.1829
1308845,0.3224,-0.0981,0.8716,0.0,0.5093,0.0,0.1797
1308861,0.2921,-0.091,0.9746,0.0,0.5085,0.0,0.1853
1308878,0.2886,-0.0602,0.8882,0.0,0.5101,0.0,0.1837
1308894,0.3142,-0.0423,0.8963,0.0,0.5085,0.0,0.1789
1308911,0.2346,-0.0559,0.9314,0.0,0.5069,0.0,0.1789
1308927,0.2781,-0.1343,0.9657,0.0,0.5141,0.0,0.1781
1308944,0.4798,-0.1119,0.8613,0.0,0.5133,0.0,0.1797
1308960,0.2674,-0.0372,0.8919,0.0,0.5149,0.0,0.1789
1308976,0.3591,-0.0946,0.921,0.0,0.5117,0.0,0.1797
1308993,0.2772,-0.0786,0.9246,0.0,0.5101,0.0,0.1813
1309011,0.2202,-0.0892,0.9698,0.0,0.5085,0.0,0.1781
1309027,0.3313,-0.0756,0.9637,0.0,0.5109,0.0,0.1748
1309043,0.3293,-0.0211,0.8523,0.0,0.5125,0.0,0.1845
1309060,0.2907,-0.084,0.9252,0.0,0.5109,0.0,0.1845
1309076,0.3081,-0.0704,0.9049,0.0,0.5077,0.0,0.1813
1309093,0.2766,-0.0462,0.9174,0.0,0.502,0.0,0.1789
1309109,0.2974,-0.09,0.9664,0.0,0.5069,0.0,0.1829
