t_ms,ax,ay,az,emg_env,emg_raw
1351851,0.14271,-0.19311,0.94574,0.0,0.0491
1351867,0.14028,-0.18719,0.94706,0.0,0.0
1351883,0.1427,-0.17061,0.94437,0.0,0.245
1351899,0.13723,-0.18635,0.94946,0.3199,0.4109
1351915,0.14611,-0.19424,0.94021,0.3989,0.3127
1351932,0.15176,-0.19464,0.93472,0.054,0.0854
1351948,0.1484,-0.20293,0.93946,0.0,0.0
1351964,0.13911,-0.19574,0.94744,0.0,0.2103
1351980,0.13916,-0.19049,0.94595,0.2619,0.3972
1351996,0.15249,-0.19212,0.94085,0.4295,0.3473
1352012,0.14466,-0.19499,0.94242,0.2216,0.1482
1352028,0.14417,-0.18919,0.94398,0.0,0.0
1352044,0.1441,-0.1893,0.94767,0.0,0.1861
1352061,0.14461,-0.19191,0.94647,0.2038,0.3836
1352077,0.14253,-0.18991,0.94518,0.4215,0.3529
1352093,0.14461,-0.19325,0.94257,0.2748,0.1724
1352109,0.13932,-0.19173,0.94857,0.0,0.0
1352125,0.13896,-0.19534,0.94738,0.0,0.1418
1352141,0.14723,-0.19038,0.94277,0.1861,0.3699
1352157,0.13821,-0.17833,0.93402,0.4287,0.3827
1352173,0.14845,-0.1831,0.94281,0.3376,0.2006
1352190,0.14263,-0.17093,0.94584,0.0,0.0
1352206,0.13459,-0.16196,0.94953,0.0,0.1104
1352222,0.13976,-0.16987,0.94557,0.1015,0.3312
1352238,0.15383,-0.19997,0.93844,0.4215,0.4118
1352254,0.17234,-0.15396,0.83324,0.3827,0.2361
1352270,0.16223,-0.23201,0.90718,0.0,0.0322
1352286,0.16278,-0.22113,0.92034,0.0,0.0612
1352302,0.15382,-0.20584,0.93062,0.0169,0.2917
1352318,0.14625,-0.17578,0.94652,0.3844,0.4223
1352335,0.14777,-0.15609,0.95976,0.3948,0.2651
1352351,0.16279,-0.16846,0.9457,0.0,0.054
1352367,0.1637,-0.18438,0.93443,0.0,0.0081
1352383,0.15988,-0.18456,0.93889,0.0,0.2522
1352399,0.15596,-0.18351,0.94232,0.3352,0.4174
1352415,0.15349,-0.17985,0.94392,0.3981,0.2877
1352431,0.15587,-0.18624,0.94143,0.0201,0.0798
1352447,0.15533,-0.18983,0.93914,0.0,0.0
1352464,0.15743,-0.19105,0.94001,0.0,0.2168
1352480,0.15461,-0.19276,0.93978,0.2732,0.3972
1352496,0.15439,-0.18525,0.93941,0.3924,0.307
1352511,0.15572,-0.17794,0.94141,0.0185,0.0798
1352527,0.14563,-0.19064,0.94701,0.0,0.0
1352543,0.14706,-0.20379,0.94146,0.0,0.2152
1352560,0.14139,-0.20859,0.94499,0.2732,0.3956
1352576,0.14006,-0.20462,0.94507,0.394,0.3086
1352591,0.13221,-0.19124,0.95278,0.0379,0.0814
1352607,0.13123,-0.17933,0.95983,0.0,0.0
1352623,0.13992,-0.18591,0.9478,0.0,0.2127
1352640,0.14336,-0.19368,0.94679,0.2683,0.394
1352656,0.15091,-0.1987,0.9369,0.39,0.3191
1352672,0.15411,-0.19949,0.9366,0.1813,0.1313
1352688,0.1495,-0.1912,0.94103,0.0,0.0
1352704,0.15608,-0.19272,0.93827,0.0,0.1748
1352720,0.15384,-0.19045,0.93732,0.2152,0.3795
1352736,0.15244,-0.19482,0.9358,0.4271,0.3473
1352752,0.14431,-0.18623,0.94505,0.2651,0.1619
1352769,0.14347,-0.18937,0.94658,0.0,0.0
1352785,0.14654,-0.19323,0.9409,0.0,0.141
1352801,0.14694,-0.19569,0.94427,0.1901,0.3674
1352817,0.14708,-0.19505,0.94136,0.4223,0.3747
1352833,0.14537,-0.19257,0.94497,0.3255,0.1974
1352849,0.147,-0.18868,0.94284,0.0,0.0
1352865,0.14205,-0.18962,0.94661,0.0,0.112
1352881,0.14676,-0.18436,0.94419,0.112,0.3344
1352898,0.14815,-0.1891,0.94275,0.3529,0.4215
1352915,0.15052,-0.20254,0.93755,0.3972,0.282
1352931,0.14845,-0.20022,0.93755,0.0008,0.0701
1352947,0.14381,-0.19601,0.94345,0.0,0.0
1352963,0.13906,-0.19566,0.94557,0.0,0.2248
1352979,0.13955,-0.1997,0.94445,0.2885,0.4029
1352995,0.14092,-0.20341,0.94139,0.3924,0.3006
1353012,0.13907,-0.19709,0.94299,0.1636,0.1217
1353028,0.13952,-0.19418,0.9454,0.0,0.0
1353044,0.13326,-0.19595,0.95037,0.0,0.1829
1353059,0.1405,-0.19577,0.9451,0.2764,0.3956
1353075,0.14117,-0.20072,0.94334,0.3916,0.307
1353092,0.14595,-0.2054,0.93897,0.1748,0.1249
1353108,0.14989,-0.20671,0.9375,0.0,0.0
1353124,0.14782,-0.20822,0.93781,0.0,0.1764
1353139,0.14643,-0.19941,0.94105,0.2651,0.3924
1353155,0.1394,-0.19348,0.9469,0.394,0.3175
1353172,0.13596,-0.19187,0.94731,0.1885,0.1321
1353188,0.13524,-0.19301,0.94584,0.0,0.0
1353204,0.13757,-0.19928,0.94806,0.0,0.1748
1353220,0.13226,-0.19721,0.94738,0.2095,0.3771
1353236,0.14333,-0.19889,0.94136,0.4182,0.3473
1353252,0.14503,-0.19712,0.94144,0.2764,0.1652
1353268,0.14292,-0.18996,0.94555,0.0,0.0
1353284,0.14253,-0.19035,0.94325,0.0,0.1402
