t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1032425,0.1095,0.0136,0.9767,0.0,0.5351,0.0,0.1684
1032441,0.1018,0.0199,0.9634,0.0,0.5343,0.0,0.174
1032457,0.1034,0.0127,0.9586,0.0,0.5359,0.0,0.1724
1032474,0.1069,0.0114,0.9655,0.0,0.5351,0.0,0.1756
1032490,0.1042,0.014,0.9637,0.0,0.5343,0.0,0.1716
1032507,0.1035,0.0076,0.9831,0.0,0.5375,0.0,0.17
1032523,0.1002,0.0046,0.9554,0.0,0.5327,0.0,0.174
1032540,0.1025,0.0079,0.9615,0.0,0.5343,0.0,0.1748
1032556,0.1009,0.0019,0.9547,0.0,0.5359,0.0,0.1748
1032573,0.1026,0.0062,0.9776,0.0,0.5327,0.0,0.17
1032589,0.1027,0.007,0.9661,0.0,0.5254,0.0,0.1716
1032605,0.0995,0.003,0.9564,0.0,0.5246,0.0,0.1716
1032622,0.1029,0.0059,0.9651,0.0,0.5262,0.0,0.1756
1032638,0.1051,0.0117,0.9811,0.0,0.5294,0.0,0.1748
1032655,0.1003,0.0021,0.9529,0.0,0.5262,0.0,0.174
1032671,0.1056,0.0066,0.9739,0.0,0.5246,0.0,0.17
1032688,0.1011,0.0094,0.9698,0.0,0.5214,0.0,0.1748
1032704,0.1004,0.0036,0.9526,0.0,0.523,0.0,0.1724
1032721,0.1034,0.0051,0.9686,0.0,0.5246,0.0,0.17
1032737,0.1032,0.0055,0.9821,0.0,0.523,0.0,0.174
1032753,0.1028,0.0074,0.9623,0.0,0.5222,0.0,0.1724
1032769,0.1014,0.0065,0.966,0.0,0.5149,0.0,0.1668
1032786,0.102,0.0078,0.9685,0.0,0.523,0.0,0.1668
1032802,0.1008,0.0068,0.9624,0.0,0.5246,0.0,0.1716
1032819,0.1021,0.0092,0.9615,0.0,0.5238,0.0,0.1748
1032835,0.1029,0.0056,0.9615,0.0,0.5238,0.0,0.1732
1032852,0.1018,0.0067,0.9658,0.0,0.5238,0.0,0.1644
1032868,0.1019,0.0072,0.9659,0.0,0.523,0.0,0.1732
1032884,0.1023,0.0078,0.9664,0.0,0.5246,0.0,0.1716
1032900,0.1034,0.0072,0.9736,0.0,0.5262,0.0,0.1708
1032917,0.1024,0.0089,0.9657,0.0,0.5246,0.0,0.1748
1032933,0.1028,0.0073,0.9716,0.0,0.5246,0.0,0.1748
1032950,0.1018,0.0076,0.9632,0.0,0.5214,0.0,0.1764
1032966,0.1036,0.0074,0.9728,0.0,0.5246,0.0,0.1716
1032983,0.101,0.0066,0.9606,0.0,0.5254,0.0,0.1732
1032999,0.1045,0.008,0.962,0.0,0.5327,0.0,0.1764
1033015,0.1035,0.0073,0.9639,0.0,0.5302,0.0,0.1732
1033032,0.103,0.007,0.9647,0.0,0.5238,0.0,0.17
1033048,0.1028,0.0068,0.9702,0.0,0.5278,0.0,0.1716
1033065,0.1034,0.0104,0.9702,0.0,0.523,0.0,0.17
1033081,0.1011,0.0066,0.9613,0.0,0.5327,0.0,0.1748
1033098,0.1043,0.0102,0.9701,0.0,0.531,0.0,0.1756
1033114,0.1025,0.0049,0.9655,0.0,0.5294,0.0,0.1748
1033131,0.1012,0.0104,0.9657,0.0,0.531,0.0,0.1692
1033147,0.1009,0.0069,0.9565,0.0,0.5262,0.0,0.1708
1033163,0.1041,0.0084,0.9683,0.0,0.5318,0.0,0.17
1033180,0.1041,0.0072,0.9708,0.0,0.5335,0.0,0.17
1033196,0.1049,0.0111,0.9748,0.0,0.5278,0.0,0.1781
1033213,0.1021,0.0059,0.9797,0.0,0.5343,0.0,0.174
1033229,0.1083,0.0021,0.966,0.0,0.5318,0.0133,0.1716
1033246,0.1098,0.0274,0.9433,0.0,0.5343,0.0,0.17
1033262,0.1064,0.0137,0.9779,0.0,0.5359,0.0,0.1716
1033279,0.1032,0.0018,1.0016,0.0,0.5343,0.0,0.1748
1033295,0.101,0.0112,1.0195,0.0,0.5343,0.0,0.1732
1033311,0.0846,-0.004,0.9142,0.0,0.5327,0.0,0.166
1033328,0.0993,-0.016,0.917,0.0,0.5327,0.0,0.1676
1033344,0.118,0.0245,0.9953,0.0,0.531,0.0,0.1692
1033361,0.12,0.0303,0.9626,0.0,0.5343,0.0,0.1716
